	bookNo	author	year	book
2659	48630	Lewis Carroll	1889	Sylvie and Bruno
2660	48641	Émile Gaboriau	1869	Monsieur Lecoq
2661	48641	Émile Gaboriau	1868	Monsieur Lecoq
2662	48731	Victor Hugo	1862	Les Misérables
2663	48732	Victor Hugo	1862	Les Misérables
2664	48733	Victor Hugo	1862	Les Misérables
2665	48734	Victor Hugo	1862	Les Misérables
2666	48735	Victor Hugo	1862	Les Misérables
2667	48778	L. Frank Baum	1911	The Sea Fairies
2668	48788	William Somerset Maugham	1922	On a Chinese Screen
2669	48818	Benito Pérez Galdós	1878	Marianela
2670	48893	Théophile Gautier	1835	Mademoiselle de Maupin
2671	48894	Théophile Gautier	1835	Mademoiselle de Maupin
2672	49068	Sadakichi Hartmann	1910	The Whistler Book
2673	49089	J. Watt Gibson	2002	Recollections of a Bleeding Heart: A Portrait of Paul Keating PM
2674	49146	Mary Macleon	1998	The Shakespeare Stealer
2675	49314	Nellie Bly	1888	Six Months in Mexico
2676	49315	Claire Duras	1823	Ourika
2677	49372	Victor Hugo	1874	Ninety-three
2678	49421	David Fallon	1999	The Bad Beginning
2679	49520	R. D. Blackmore	1890	Kit and Kitty
2680	49525	Edward Elmer Smith	1950	First Lensman
2681	49579	Frances Hodgson Burnett	1885	Little Lord Fauntleroy
2682	49687	J. Alfred Gotch	1901	Early Renaissance Architecture in England
2683	49786	William Black,	2002	The Story of Lucy Gault
2684	49822	Ida M. Tarbell	1907	He Knew Lincoln
2685	49858	W. E. Gladstone	1858	Studies on Homer and the Homeric Age
2686	49907	Grant Allen	1897	Paris
2687	49907	Grant Allen	2013	Paris
2688	49935	H. C. (Herman Cyril) McNeile	1920	Bulldog Drummond
2689	49949	Henry Stephens Salt	1899	The logic of vegetarianism
2690	50022	Murray Leinster	1960	The Wailing Asteroid
2691	50037	Mary Elisabeth Braddon	1886	Wyllard's Weird
2692	50045	Will Rossiter	2002	The Story of Lucy Gault
2693	50109	Mark Twain	1916	The Mysterious Stranger
2694	50133	H. P. Lovecraft	1963	The Dunwich Horror and Others
2695	50138	Robert Moore Williams	1992	Doomsday Book
2696	50194	L. Frank Baum	1919	The Magic of Oz
2697	50228	Francis Douce	1807	Illustrations of Shakspeare, and of Ancient Manners
2698	50310	Guy Wetmore Carryl	1900	Mother Goose for Grownups
2699	50372	William Clark Russell	2002	The Story of Lucy Gault
2700	50441	Robert Silverberg	1957	Master of Life and Death
2701	50462	George Payne Rainsford James	1831	Philip Augustus
2702	50489	Charles Baudelaire	1859	On the Origin of Species
2703	50504	William C. Storrick	2002	The Story of Lucy Gault
2704	50534	Anonymous	1895	The Three Impostors
2705	50561	Stanley G. Weinbaum	1950	The Dark Other
2706	50566	Marion Zimmer Bradley	1964	Falcons of Narabedla
2707	50571	Philip José Farmer	1957	The Green Odyssey
2708	50598	Charles Boardman Hawes	1924	The Dark Frigate
2709	50688	George Payne Rainsford James	1830	De l'Orme
2710	50736	F. L. Wallace	1955	Address: Centauri
2711	50819	Fritz Leiber	1977	Our Lady of Darkness
2712	50848	Michael Shaara	1953	Soldier Boy
2713	50863	E. Everett Evans	1955	Alien Minds
2714	50885	William Morrison	2002	The Story of Lucy Gault
2715	50895	Patrick MacGill	2012	The Party Journalist
2716	50906	Winston Spencer Churchill	1899	Savrola
2717	50924	Robert F. Young	1879	Travels with a Donkey in the Cévennes
2718	50948	William Tenn	1955	Of All Possible Worlds
2719	50966	Arthur Schopenhauer	1813	On the Fourfold Root of the Principle of Sufficient Reason
2720	51024	Patrick MacGill	2012	The Party Journalist
2721	51054	Alexandre Dumas	1857	The Wolf Leader
2722	51060	Edgar Allan Poe	1838	The Narrative of Arthur Gordon Pym of Nantucket
2723	51122	William Tenn	2002	The Story of Lucy Gault
2724	51129	Manly Banister	1987	A Gift from the Culture
2725	51161	Max Nordau	1892	Degeneration
2726	51213	Joseph W. Zaehnsdorf	1890	The Art of Bookbinding
2727	51233	C.M. Kornbluth	1959	The Marching Morons
2728	51239	Robert Mudie	1967	The Contender
2729	51240	William Morrison	2002	The Story of Lucy Gault
2730	51257	Dean Evans	2003	The Confessor
2731	51263	L. Frank Baum	1915	The Scarecrow of Oz
2732	51307	William Le Queux	2002	The Story of Lucy Gault
2733	51356	Friedrich Nietzsche	1872	The Birth of Tragedy
2734	51391	Bram Stoker	1910	Famous Impostors
2735	51425	William H. Davies	1908	The Autobiography of a Super-Tramp
2736	51459	William Hogarth	1753	The Analysis of Beauty
2737	51544	Franz Oppenheimer	1908	The State
2738	51549	Fritz Leiber	1958	The Big Time
2739	51770	Charles Seabridge	1859	On the Origin of Species
2740	51845	Frederik Pohl	1959	Wolfbane
2741	51854	Jay Franklin	1950	The Rat Race
2742	51893	Mary Austin	1903	The Land of Little Rain
2743	51905	William le Queux	1906	The Invasion of 1910
2744	51950	Hall Caine	1968	The Pigman
2745	51967	Robert Paltock	1751	The Life and Adventures of Peter Wilkins
2746	51968	Robert Paltock	1751	The Life and Adventures of Peter Wilkins
2747	52066	Henry Lawson	1900	Verses, Popular and Humorous
2748	52084	Frank L. Packard	1987	The Trial
2749	52084	Frank L. Packard	1989	The Trial
2750	52084	Frank L. Packard	1925	The Trial
2751	52106	Edward Westermarck	1906	The Origin and Development of the Moral Ideas
2752	52166	Friedrich Wilhelm Nietzsche	1888	The Case of Wagner
2753	52176	L. Frank (Lyman Frank) Baum	1914	Tik-Tok of Oz
2754	52190	Friedrich Wilhelm Nietzsche	1908	Ecce Homo
2755	52225	Gustave Flaubert	1874	The Temptation of Saint Anthony
2756	52228	Frederik Pohl	1954	Search the Sky
2757	52437	Douglas Durkin	1982	Life, the Universe and Everything
2758	52501	H. G. Wells	1901	The First Men in the Moon
2759	52506	Baron Robert Stephenson Smyth Baden-Powell	1908	Scouting for Boys
2760	52572	Annie Fisler	1954	Story of O
2761	52824	Thomas Barlow Wood	1870	The Story of a Bad Boy
2762	52900	Louisa M. Alcott	1871	Little Men
2763	52984	Paul Lafargue	1883	The Right to be Lazy
2764	53004	W. E. Gladstone	1858	Studies on Homer and the Homeric Age
2765	53028	John Davys Beresford	1911	The Hampdenshire Wonder
2766	53123	Julian F. Grow	1980	Metroland
2767	53193	William Alexander Taylor	1901	Intermere
2768	53598	B. L. Farjeon	1922	Seven Pillars of Wisdom
2769	53685	Charles Robert Maturin	1820	Melmoth the Wanderer
2770	53686	Charles Robert Maturin	1820	Melmoth the Wanderer
2771	53687	Charles Robert Maturin	1820	Melmoth the Wanderer
2772	53688	Charles Robert Maturin	1820	Melmoth the Wanderer
2773	53735	L. Frank Baum	1911	The Daring Twins
2774	53765	Ruth Plumly Thompson	1922	Kabumpo in Oz
2775	53929	James Oliver Curwood	1917	Baree, Son of Kazan
2776	53958	Henry Herbert Goddard	1912	The Kallikak Family
2777	54068	Jack London	1920	Hearts of Three
2778	54111	Frank L. Packard	1911	On the Iron at Big Cloud
2779	54230	Elizabeth Stuart Phelps	1868	The Gates Ajar
2780	54236	Gabriele D’Annunzio	1969	The Intruder
2781	54236	Gabriele D’Annunzio	1892	The Intruder
2782	54268	William Judge	1893	The Ocean of Theosophy
2783	54435	Elizabeth Barrett Browning	1856	Aurora Leigh
2784	54488	Helena Petrovna Blavatsky	1888	The Secret Doctrine
2785	54529	L. Frank Baum	1912	Phoebe Daring
2786	54540	L. Frank Baum	1906	Daughters of Destiny
2787	54604	Charles Dudley Warner	1877	Being a Boy
2788	54700	Ivan Goncharov	1859	Oblomov
2789	54710	Lincoln Steffens	1904	The Shame of the Cities
2790	54720	Robert Fortune	1847	Three Years' Wandering in the Northern Provinces of China
2791	54747	Ralph Henry Barbour	1907	Tom, Dick and Harriet
2792	54765	Thomas Dixon, Jr.	1902	The Leopard's Spots
2793	54812	Harriet Beecher Stowe	1853	A Key to Uncle Tom's Cabin
2794	54824	Helena Petrovna Blavatsky	1888	The Secret Doctrine
2795	54847	Margaret Hamilton Hungerford	1922	The Red House Mystery
2796	54871	Patrick MacGill	2012	The Party Journalist
2797	54895	Aldous Huxley	1920	Limbo
2798	54895	Aldous Huxley	1952	Limbo
2799	54909	Ralph Henry Barbour	1908	Harry's Island
2800	54910	Margaret Deland	2006	The Rising Tide
2801	54910	Margaret Deland	1916	The Rising Tide
2802	54969	John Tyndall	2002	Shroud
2803	54990	Patrick MacGill	2000	The Barn Burner
2804	55020	L. Frank Baum	1914	The Last Egyptian
2805	55024	Alexander Pushkin	1834	The Queen of Spades
2806	55040	Lewis Carroll	1890	"The Nursery ""Alice"""
2807	55078	Henry James	1903	The Birthplace
2808	55201	Plato	-380	The Republic
2809	55222	Florence Montgomery	1869	Misunderstood
2810	55264	D'Arcy Wentworth Thompson	1917	On Growth and Form
2811	55276	Julia Frankau	1997	Sky Trillium
2812	55308	Henry George	1879	Progress and Poverty
2813	55338	Robert Buchanan	1882	The Merry Men
2814	55343	Henry Morgenthau	1918	Ambassador Morgenthau's Story
2815	55389	J. P. (Jens Peter) Jacobsen	1880	Niels Lyhne
2816	55435	Ralph Henry Barbour	1909	Captain Chub
2817	55618	H. P. Blavatsky	1889	The Key to Theosophy
2818	55627	Elsie Singmaster	1788	Emmeline
2819	55627	Elsie Singmaster	1980	Emmeline
2820	55707	J. W. Winkley	2000	Ghost in the Mirror
2821	55737	L. Frank Baum	1904	Queen Zixi of Ix
2822	55774	John Ross	1993	The Law of Peoples
2823	55806	Ruth Plumly Thompson	1939	Ozoplaning with the Wizard of Oz
2824	55822	Bronislaw Malinowski	1922	Argonauts of the Western Pacific
2825	55948	Jack London	1913	The Abysmal Brute
2826	55979	William H. Jackson	1844	Life and Confession of Sophia Hamilton
2827	56008	Frédéric Mistral	1859	Mirèio
2828	56020	William George Jordan	2002	The Story of Lucy Gault
2829	56079	Ruth Plumly Thompson	1937	Handy Mandy in Oz
2830	56154	Clarence E. Mulford	1918	The Man from Bar-20
2831	56385	Fergus Hume	1906	Jonah's Luck
2832	56426	Jane Webb-Loudon	1827	The Mummy!
2833	56528	Émile Zola	1885	Germinal
2834	56555	Jack Snow	1946	The Magical Mimics in Oz
2835	56562	Robert Louis Stevenson	1886	Kidnapped
2836	56621	Elizabeth Barrett Browning	1856	Aurora Leigh
2837	56639	Anna Bowman Dodd	1887	The Republic of the Future
2838	56644	Thomas Bulfinch	1855	Bulfinch's Mythology
2839	56683	Jack Snow	1949	The Shaggy Man of Oz
2840	56831	Marshall Saunders	2006	The Night Watch
2841	56876	Elizabeth Burgoyne Corbett	1889	New Amazonia
2842	56889	Fletcher Pratt	1969	The Blue Star
2843	56960	Fred M. White	1907	The Midnight Guest
2844	56979	William Simpson	2002	The Story of Lucy Gault
2845	57037	Nicoló Machiavelli	2002	The Prince
2846	57037	Nicoló Machiavelli	1532	The Prince
2847	57037	Nicoló Machiavelli	2005	The Prince
2848	57046	Cornelia Meigs	1919	The Pool of Stars
2849	57070	Thomas E. Watson	1977	Napoleon's Campaigns in Miniature
2850	57101	Emma Speed Sampson	1920	Mary Louise at Dorfield
2851	57260	Bernard Mandeville (1670-1733)	1705	The Fable of the Bees
2852	57272	William Stekel	2002	The Story of Lucy Gault
2853	57393	Henry David Thoreau	1899	The writings of Henry David Thoreau
2854	57489	Camille Flammarion	1894	Omega: The Last Days of the World
2855	57515	John  Ireland	1975	The Shockwave Rider
2856	57532	Charles Babbage	1864	Passages from the Life of a Philosopher.
2857	57536	Ida M. Tarbell	1907	He Knew Lincoln
2858	57539	Elizabeth Cleghorn Gaskell	1851	Cranford
2859	57631	John Buchan	1916	The Power-House
2860	57642	William H. Wright	2002	The Story of Lucy Gault
2861	57669	Jacques Futrelle	1905	The Problem of Cell 13
2862	57795	T. S. Eliot	1920	The Sacred Wood
2863	57799	Edith Nesbit	1908	The House of Arden
2864	57861	Julian Street	1980	Metroland
2865	57913	Charlotte Perkins Gilman	1898	Women and Economics
2866	57918	Cornelia Meigs	1918	The Pirate of Jasper Peak
2867	57937	William Wilfred Campbell	2002	The Story of Lucy Gault
2868	57976	Cornelia Meigs	1917	The Island of Appledore
2869	58340	Percy Wyndham Lewis	1918	Tarr
2870	58344	Hermann Hesse	1922	Siddhartha
2871	58410	Amanda M. Douglas	1909	A Little Girl in Old Pittsburg
2872	58433	Robert Hugh Benson	1879	Travels with a Donkey in the Cévennes
2873	58471	Henry James	1888	Partial Portraits
2874	58534	Arthur Train	1881	The Prince and the Pauper
2875	58585	Kahlil Gibran	1923	The Prophet
2876	58593	H. De Vere Stacpoole	1923	The Garden of God
2877	58606	James Sully	1914	An Encounter
2878	58664	Sadakichi Hartmann	1916	My Rubaiyat
2879	58666	Arnold Bennett	1923	Riceyman Steps
2880	58786	Walter Besant	1983	The Queen's Gambit
2881	58795	Thomas Hughes	1549	Book of Common Prayer
2882	58796	Thomas Boyd	1923	Through the Wheat
2883	58817	Ralph Delahaye Paine	1906	The Praying Skipper and Other Stories
2884	58820	Dorothy L. Sayers	1923	Whose Body?
2885	58859	Benjamin Rush	1812	Medical Inquiries and Observations upon Diseases of the Mind
2886	58860	Benjamin Rush	1812	Medical Inquiries and Observations upon Diseases of the Mind
2887	58862	Benjamin Rush	1812	Medical Inquiries and Observations upon Diseases of the Mind
2888	58872	Robert Frost	1923	New Hampshire
2889	58874	Edgar Rice Burroughs	1922	Tarzan and the Golden Lion
2890	58874	Edgar Rice Burroughs	1923	Tarzan and the Golden Lion
2891	58899	Dave Dryfoos	2006	World War Z
2892	58938	Henry James	1905	English Hours
2893	58947	Hugh Lofting	1923	Doctor Dolittle's Post Office
2894	58956	Dorothy Levitt	1909	The Woman and the Car
2895	59031	Henry David Thoreau	1899	The writings of Henry David Thoreau
2896	59035	Edward Step	1895	Wayside and woodland blossoms
2897	59091	Charles Henry Brent	1978	The Stand
2898	59142	Joseph Conrad	1923	The Rover
2899	59178	John Buchan	1923	Midwinter
2900	59206	Charles H. Caffin	1954	The Story of Man
2901	59212	Arthur Berry	1898	A Short History of Astronomy
2902	59239	G. K. Chesterton	1914	The Flying Inn
2903	59287	Bryce Walton	2008	The Fire Waker
2904	59373	Poul Anderson	2002	Catalyst
2905	59386	Edward Westermarck	1891	The History of Human Marriage
2906	59394	Miriam Allen de Ford	2007	The Maytrees
2907	59422	H. Rider Haggard	1923	Wisdom's Daughter
2908	59430	Agnes Repplier	1897	Essays in idleness
2909	59437	Edith Wharton	1923	A Son at the Front
2910	59473	Charles H. Caffin	1954	The Story of Man
2911	59497	Vladimir Galaktionovich Korolenko	1886	The Blind Musician
